InputGrid,Grid,Method,Status,dt,Steps,L2,Linf,diagRate,Aopt,Copt,GridEnergy,RMSDistToTFI,MaxDistToTFI,Message
Fish,11 x 11,Transfinite interpolation,ok,3.94819962097284e-05,25328,0.00243839781546691,0.00655446750748465,5065.48651631033,NaN,NaN,NaN,0,0,
Fish,11 x 11,Multigrid gridGenerator,ok,3.45838866755201e-06,289152,NaN,2.36477504245158e-13,57830.2084445855,0.5710158424625,0.293049003285743,1.82063288241009,0.0900559768548716,0.20967800097469,
