InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Hard C,21 x 21,21,21,10,1,Input grid_fun call,0.00338204166666667,ok,
Hard C,21 x 21,21,21,10,1,Transfinite interpolation only,0.00667791666666667,ok,
Hard C,21 x 21,21,21,10,1,Transfinite total,0.0100599583333333,ok,
Hard C,21 x 21,21,21,10,1,gridGenerator total,1.2863205,ok,
Hard C,21 x 21,21,21,10,2,Input grid_fun call,0.00204445833333333,ok,
Hard C,21 x 21,21,21,10,2,Transfinite interpolation only,0.00106595833333333,ok,
Hard C,21 x 21,21,21,10,2,Transfinite total,0.00311041666666667,ok,
Hard C,21 x 21,21,21,10,2,gridGenerator total,0.897408916666667,ok,
Hard C,21 x 21,21,21,10,3,Input grid_fun call,0.00844545833333333,ok,
Hard C,21 x 21,21,21,10,3,Transfinite interpolation only,0.00341408333333333,ok,
Hard C,21 x 21,21,21,10,3,Transfinite total,0.0118595416666667,ok,
Hard C,21 x 21,21,21,10,3,gridGenerator total,0.743559291666667,ok,
Hard C,21 x 21,21,21,10,4,Input grid_fun call,0.00121408333333333,ok,
Hard C,21 x 21,21,21,10,4,Transfinite interpolation only,0.0007085,ok,
Hard C,21 x 21,21,21,10,4,Transfinite total,0.00192258333333333,ok,
Hard C,21 x 21,21,21,10,4,gridGenerator total,0.644873625,ok,
Hard C,21 x 21,21,21,10,5,Input grid_fun call,0.001635875,ok,
Hard C,21 x 21,21,21,10,5,Transfinite interpolation only,0.000938875,ok,
Hard C,21 x 21,21,21,10,5,Transfinite total,0.00257475,ok,
Hard C,21 x 21,21,21,10,5,gridGenerator total,0.968143166666667,ok,
Hard C,41 x 41,41,41,10,1,Input grid_fun call,0.00186054166666667,ok,
Hard C,41 x 41,41,41,10,1,Transfinite interpolation only,0.00115766666666667,ok,
Hard C,41 x 41,41,41,10,1,Transfinite total,0.00301820833333333,ok,
Hard C,41 x 41,41,41,10,1,gridGenerator total,1.50364504166667,ok,
Hard C,41 x 41,41,41,10,2,Input grid_fun call,0.00308108333333333,ok,
Hard C,41 x 41,41,41,10,2,Transfinite interpolation only,0.00201725,ok,
Hard C,41 x 41,41,41,10,2,Transfinite total,0.00509833333333333,ok,
Hard C,41 x 41,41,41,10,2,gridGenerator total,1.13890754166667,ok,
Hard C,41 x 41,41,41,10,3,Input grid_fun call,0.00133808333333333,ok,
Hard C,41 x 41,41,41,10,3,Transfinite interpolation only,0.000840458333333333,ok,
Hard C,41 x 41,41,41,10,3,Transfinite total,0.00217854166666667,ok,
Hard C,41 x 41,41,41,10,3,gridGenerator total,1.07896,ok,
Hard C,41 x 41,41,41,10,4,Input grid_fun call,0.002368875,ok,
Hard C,41 x 41,41,41,10,4,Transfinite interpolation only,0.00150370833333333,ok,
Hard C,41 x 41,41,41,10,4,Transfinite total,0.00387258333333333,ok,
Hard C,41 x 41,41,41,10,4,gridGenerator total,1.11805495833333,ok,
Hard C,41 x 41,41,41,10,5,Input grid_fun call,0.00117133333333333,ok,
Hard C,41 x 41,41,41,10,5,Transfinite interpolation only,0.000802958333333333,ok,
Hard C,41 x 41,41,41,10,5,Transfinite total,0.00197429166666667,ok,
Hard C,41 x 41,41,41,10,5,gridGenerator total,1.01394845833333,ok,
Hard C,81 x 81,81,81,10,1,Input grid_fun call,0.00170270833333333,ok,
Hard C,81 x 81,81,81,10,1,Transfinite interpolation only,0.00111704166666667,ok,
Hard C,81 x 81,81,81,10,1,Transfinite total,0.00281975,ok,
Hard C,81 x 81,81,81,10,1,gridGenerator total,1.5010365,ok,
