Grid,Method,dt,Steps,L2,Linf
21 x 21,Transfinite interpolation,0.000390167772142021,2563,0.000996308043679795,0.00233362709480446
21 x 21,gridGenerator,0.000274348422496571,3645,0.00097316283714483,0.00238927357772155
41 x 41,Transfinite interpolation,9.75324295328197e-05,10253,0.00025150104494265,0.000576189785014086
41 x 41,gridGenerator,6.37673766101263e-05,15682,0.000243029727989592,0.000577045425087797
81 x 81,Transfinite interpolation,2.43825128617755e-05,41013,6.34583624608605e-05,0.000143817737893903
81 x 81,gridGenerator,1.84795062275936e-05,54114,6.18250796410588e-05,0.000144804908830787
