InputGrid,Grid,Ns,Nt,TFITotalMedianSeconds,GridGeneratorMedianSeconds,GridGeneratorOverTFI
Soft C,21 x 21,21,21,0.00223770833333333,0.735076833333333,328.49537287031
Soft C,41 x 41,41,41,0.003843625,1.17351729166667,305.315240604031
Soft C,81 x 81,81,81,0.00322529166666667,1.65046595833333,511.726110041728
Soft C,41 x 21,41,21,0.00458854166666667,1.47607541666667,321.687264472191
Hard C,21 x 21,21,21,0.00311041666666667,0.897408916666667,288.517267247153
Hard C,41 x 41,41,41,0.00301820833333333,1.11805495833333,370.436641495368
Hard C,81 x 81,81,81,0.00445470833333333,1.5010365,336.955056915436
Hard C,41 x 21,41,21,0.005575,0.791497666666667,141.972675635277
Swan,21 x 21,21,21,0.003043875,0.68542375,225.181306722517
Swan,41 x 41,41,41,0.0214576666666667,1.28160225,59.7270089944542
Swan,81 x 81,81,81,0.006987625,1.64926679166667,236.026803336851
Swan,41 x 21,41,21,0.00363075,0.817307458333333,225.107060065643
