InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Soft C,41 x 21,41,21,10,5,gridGenerator total,0.972488875,ok,
Hard C,21 x 21,21,21,10,1,Input grid_fun call,0.00581329166666667,ok,
Hard C,21 x 21,21,21,10,1,Transfinite interpolation only,0.00213241666666667,ok,
Hard C,21 x 21,21,21,10,1,Transfinite total,0.00794570833333333,ok,
Hard C,21 x 21,21,21,10,1,gridGenerator total,0.92121575,ok,
Hard C,21 x 21,21,21,10,2,Input grid_fun call,0.005290625,ok,
Hard C,21 x 21,21,21,10,2,Transfinite interpolation only,0.002049375,ok,
Hard C,21 x 21,21,21,10,2,Transfinite total,0.00734,ok,
Hard C,21 x 21,21,21,10,2,gridGenerator total,0.94368675,ok,
Hard C,21 x 21,21,21,10,3,Input grid_fun call,0.019173375,ok,
Hard C,21 x 21,21,21,10,3,Transfinite interpolation only,0.00568829166666667,ok,
Hard C,21 x 21,21,21,10,3,Transfinite total,0.0248616666666667,ok,
Hard C,21 x 21,21,21,10,3,gridGenerator total,0.817165625,ok,
Hard C,21 x 21,21,21,10,4,Input grid_fun call,0.00323570833333333,ok,
Hard C,21 x 21,21,21,10,4,Transfinite interpolation only,0.00130616666666667,ok,
Hard C,21 x 21,21,21,10,4,Transfinite total,0.004541875,ok,
Hard C,21 x 21,21,21,10,4,gridGenerator total,0.942741541666667,ok,
Hard C,21 x 21,21,21,10,5,Input grid_fun call,0.015101625,ok,
Hard C,21 x 21,21,21,10,5,Transfinite interpolation only,0.00295070833333333,ok,
Hard C,21 x 21,21,21,10,5,Transfinite total,0.0180523333333333,ok,
Hard C,21 x 21,21,21,10,5,gridGenerator total,1.188825875,ok,
Hard C,41 x 41,41,41,10,1,Input grid_fun call,0.00462495833333333,ok,
Hard C,41 x 41,41,41,10,1,Transfinite interpolation only,0.00193066666666667,ok,
Hard C,41 x 41,41,41,10,1,Transfinite total,0.006555625,ok,
Hard C,41 x 41,41,41,10,1,gridGenerator total,1.37241158333333,ok,
Hard C,41 x 41,41,41,10,2,Input grid_fun call,0.00209483333333333,ok,
Hard C,41 x 41,41,41,10,2,Transfinite interpolation only,0.00127533333333333,ok,
Hard C,41 x 41,41,41,10,2,Transfinite total,0.00337016666666667,ok,
Hard C,41 x 41,41,41,10,2,gridGenerator total,1.11723275,ok,
Hard C,41 x 41,41,41,10,3,Input grid_fun call,0.001365625,ok,
Hard C,41 x 41,41,41,10,3,Transfinite interpolation only,0.000765916666666667,ok,
Hard C,41 x 41,41,41,10,3,Transfinite total,0.00213154166666667,ok,
Hard C,41 x 41,41,41,10,3,gridGenerator total,1.14619716666667,ok,
Hard C,41 x 41,41,41,10,4,Input grid_fun call,0.00186358333333333,ok,
Hard C,41 x 41,41,41,10,4,Transfinite interpolation only,0.000954333333333333,ok,
Hard C,41 x 41,41,41,10,4,Transfinite total,0.00281791666666667,ok,
Hard C,41 x 41,41,41,10,4,gridGenerator total,1.50842795833333,ok,
Hard C,41 x 41,41,41,10,5,Input grid_fun call,0.0149479583333333,ok,
Hard C,41 x 41,41,41,10,5,Transfinite interpolation only,0.00766,ok,
